,species,year,spawners,runsize
12,Chinook,1994,64912.91,193971.24
13,Chinook,1995,71115.11,217203.54
14,Chinook,1996,77020.35,196012.28
15,Chinook,1997,84339.29,199952.77
16,Chinook,1998,35965.82,97281.46
17,Chinook,1999,46946.01,124337.6
18,Chinook,2000,21909.44,54110.34
19,Chinook,2001,69423.36,104227.31
20,Chinook,2002,48397.21,93991.09
21,Chinook,2003,95243.32,173361.82
22,Chinook,2004,56069.41,127303.44
23,Chinook,2005,69344.07,131942.29
24,Chinook,2006,64371.82,126966.71
25,Chinook,2007,36207.21,92909.13
26,Chinook,2008,33921.93,69729.75
27,Chinook,2009,65020.17,86771.1
28,Chinook,2010,32215.13,62615.33
29,Chinook,2011,47015.24,70606.42
30,Chinook,2012,32323.37,51612.69
31,Chinook,2013,28509.32,39640.43
32,Chinook,2014,63391.57,65127.74
33,Chinook,2015,82685.37,88355.12
34,Chinook,2016,69235.46,83688.37
35,Chinook,2017,69382.95,99776.4
36,Chinook,2018,54569.57,76862.68
37,Chinook,2019,42217.98,85412.52
38,Chinook,2020,30634.93,52119.94
39,Chinook,2021,31520.32,33260.22
40,Chinook,2022,12005.98,13354.88
41,Chinook,2023,14576.33,15819.75
56,Chum,1994,98358.0,
57,Chum,1995,158092.0,
58,Chum,1996,122429.0,
59,Chum,1997,85419.0,
60,Chum,1998,46252.0,
61,Chum,1999,58552.0,
62,Chum,2000,53732.0,
63,Chum,2001,33491.0,90100.0
64,Chum,2002,98621.0,89900.0
65,Chum,2003,143133.0,170800.0
66,Chum,2004,154080.0,181300.0
67,Chum,2005,437498.0,504500.0
68,Chum,2006,220898.0,284200.0
69,Chum,2007,236987.0,278500.0
70,Chum,2008,167898.0,237000.0
71,Chum,2009,93626.0,128000.0
72,Chum,2010,117789.0,143000.0
73,Chum,2011,205566.0,326000.0
74,Chum,2012,137662.0,238000.0
75,Chum,2013,200262.0,303000.0
76,Chum,2014,156796.0,223000.0
77,Chum,2015,108658.0,205000.0
78,Chum,2016,145267.0,298000.0
79,Chum,2017,401585.0,563000.0
80,Chum,2018,154126.0,279000.0
81,Chum,2019,99738.0,178000.0
82,Chum,2020,23512.0,25000.0
83,Chum,2021,23170.0,23000.0
84,Chum,2022,22059.0,23000.0
85,Chum,2023,22090.0,23000.0
104,Chinook,1994,97432.0,112520.1119
105,Chinook,1995,75361.0,85643.27629
106,Chinook,1996,123890.0,140964.9674
107,Chinook,1997,154428.0,177332.6117
108,Chinook,1998,63840.0,72068.92767
109,Chinook,1999,51348.0,64348.06214
110,Chinook,2000,70433.0,82313.59408
111,Chinook,2001,116772.0,130661.4857
112,Chinook,2002,111488.0,128709.4833
113,Chinook,2003,89163.0,104904.0004
114,Chinook,2004,131015.0,156676.495
115,Chinook,2005,82948.0,148922.212
116,Chinook,2006,68917.0,119487.6921
117,Chinook,2007,32136.0,67420.68601
118,Chinook,2008,46882.0,73057.07016
119,Chinook,2009,41972.0,68677.6341
120,Chinook,2010,53443.0,73314.94969
121,Chinook,2011,41033.0,59386.21868
122,Chinook,2012,42072.0,63031.57312
123,Chinook,2013,39778.0,51640.15816
124,Chinook,2014,51263.0,64790.93161
125,Chinook,2015,50861.0,63617.41165
126,Chinook,2016,22245.0,32496.85598
127,Chinook,2017,17290.0,22602.74666
128,Chinook,2018,20222.0,22367.53625
129,Chinook,2019,31694.0,33904.31192
130,Chinook,2020,30676.0,33041.59145
131,Chinook,2021,25279.0,27685.47677
132,Chinook,2022,25163.0,27986.02288
133,Chinook,2023,31784.0,32416.0
144,Sockeye,1994,134526.8069,396226.3837
145,Sockeye,1995,144564.7666,412151.681
146,Sockeye,1996,137109.627,619388.8088
147,Sockeye,1997,96062.14019,313039.1279
148,Sockeye,1998,75658.59687,188652.5575
149,Sockeye,1999,78610.58941,239901.926
150,Sockeye,2000,68519.06749,258921.6227
151,Sockeye,2001,137005.3791,423439.3063
152,Sockeye,2002,106256.6607,276198.2666
153,Sockeye,2003,210524.319,471938.319
154,Sockeye,2004,163984.3809,465090.3877
155,Sockeye,2005,142300.6417,390187.36
156,Sockeye,2006,162793.8568,403029.6738
157,Sockeye,2007,81194.32789,286008.0575
158,Sockeye,2008,81276.21775,231986.5785
159,Sockeye,2009,95180.40587,235526.1253
160,Sockeye,2010,106219.2027,238769.0309
161,Sockeye,2011,119914.6,321397.9451
162,Sockeye,2012,118381.6689,244642.115
163,Sockeye,2013,104981.4738,282388.7311
164,Sockeye,2014,109264.632,212154.2169
165,Sockeye,2015,141649.9067,269923.309
166,Sockeye,2016,174287.1789,432152.1622
167,Sockeye,2017,89987.58321,255334.1178
168,Sockeye,2018,94049.69753,173045.5173
169,Sockeye,2019,140165.7956,260699.6343
170,Sockeye,2020,117791.906,159732.8355
171,Sockeye,2021,236090.3037,306151.9343
172,Sockeye,2022,188418.6004,334560.1325
173,Sockeye,2023,156937.2667,255085.0423
176,Coho,1994,96343.0,212328.0
177,Coho,1995,55710.0,128688.0
178,Coho,1996,44635.0,66706.0
179,Coho,1997,32345.0,41514.0
180,Coho,1998,61382.0,83514.0
181,Coho,1999,60768.0,75352.0
182,Coho,2000,64700.0,81667.0
183,Coho,2001,104394.0,119232.0
184,Coho,2002,219360.0,256400.0
185,Coho,2003,183112.0,211894.0
186,Coho,2004,129327.0,164909.0
187,Coho,2005,135558.0,165535.0
188,Coho,2006,122384.0,170223.0
189,Coho,2007,74246.0,98936.0
190,Coho,2008,95226.0,123589.0
191,Coho,2009,103950.0,156662.0
192,Coho,2010,126830.0,196492.0
193,Coho,2011,70871.0,92742.0
194,Coho,2012,70775.0,96401.0
195,Coho,2013,68117.0,103792.0
196,Coho,2014,124171.0,171888.0
197,Coho,2015,60178.0,79919.0
198,Coho,2016,87704.0,111217.0
199,Coho,2017,57868.0,78056.0
200,Coho,2018,51173.0,85485.0
201,Coho,2019,82759.0,105110.0
202,Coho,2020,52063.0,61935.0
203,Coho,2021,75526.0,98433.0
204,Coho,2022,66034.0,87241.0
205,Coho,2023,89022.0,115028.0
216,Pink,1994,27100.0,
217,Pink,1995,1712.0,
218,Pink,1996,21583.0,
219,Pink,1997,4962.0,
220,Pink,1998,23347.0,
221,Pink,1999,23503.0,
222,Pink,2000,6529.0,
223,Pink,2001,9134.0,
224,Pink,2002,5672.0,
225,Pink,2003,15492.0,
226,Pink,2004,8464.0,
227,Pink,2005,15839.0,
228,Pink,2006,21725.0,
229,Pink,2007,12405.0,
230,Pink,2008,4704.0,
231,Pink,2009,9234.0,
232,Pink,2010,8868.0,
233,Pink,2011,17775.0,
234,Pink,2012,5826.0,
235,Pink,2013,4666.0,
236,Pink,2014,2436.0,
237,Pink,2015,24246.0,
238,Pink,2016,1369.0,
239,Pink,2017,18520.0,
240,Pink,2018,1604.0,
241,Pink,2019,16971.0,
242,Pink,2020,4739.0,
243,Pink,2021,26950.0,
244,Pink,2022,2042.0,
245,Pink,2023,7097.0,
256,Chum,1994,367.0,
257,Chum,1995,218.0,
258,Chum,1996,388.0,
259,Chum,1997,485.0,
260,Chum,1998,179.0,
261,Chum,1999,164.0,
262,Chum,2000,423.0,
263,Chum,2001,250.0,
264,Chum,2002,205.0,
265,Chum,2003,268.0,
266,Chum,2004,414.0,
267,Chum,2005,258.0,
268,Chum,2006,466.0,
269,Chum,2007,482.0,
270,Chum,2008,350.0,
271,Chum,2009,231.0,
272,Chum,2010,94.0,
273,Chum,2011,177.0,
274,Chum,2012,232.0,
275,Chum,2013,269.0,
276,Chum,2014,310.0,
277,Chum,2015,95.0,
278,Chum,2016,66.0,
279,Chum,2017,236.0,
280,Chum,2018,32.0,
281,Chum,2019,118.0,
282,Chum,2020,44.0,
283,Chum,2021,29.0,
284,Chum,2022,150.0,
285,Chum,2023,61.0,
345,Chinook,1994,2000.0,
346,Chinook,1995,1500.0,
347,Chinook,1996,3000.0,
348,Chinook,1997,2500.0,
349,Chinook,1998,3000.0,
350,Chinook,1999,3200.0,
351,Chinook,2000,3600.0,
352,Chinook,2001,,
353,Chinook,2002,3500.0,
354,Chinook,2003,4000.0,
355,Chinook,2004,,
356,Chinook,2005,5000.0,
357,Chinook,2006,5000.0,
402,Chum,1994,287735.9911,
403,Chum,1995,265603.0012,
404,Chum,1996,278053.2386,
405,Chum,1997,251482.061,
406,Chum,1998,408205.8753,
407,Chum,1999,428537.8559,
408,Chum,2000,274912.7455,
409,Chum,2001,242874.1917,
410,Chum,2002,218138.2328,
411,Chum,2003,256693.2442,
412,Chum,2004,269950.881,
413,Chum,2005,244408.3764,
414,Chum,2006,220668.5321,
415,Chum,2007,98888.113,
416,Chum,2008,196794.6745,
417,Chum,2009,264962.6973,
418,Chum,2010,193091.5219,
419,Chum,2011,177998.7451,
420,Chum,2012,253078.7689,
421,Chum,2013,138130.3299,
422,Chum,2014,141271.786,
423,Chum,2015,208134.5731,
424,Chum,2016,135256.9183,
425,Chum,2017,141130.0978,
426,Chum,2018,202443.0952,
427,Chum,2019,131249.9818,
428,Chum,2020,30752.51215,
429,Chum,2021,37865.67837,
430,Chum,2022,193424.6246,
475,Coho,1994,96142.8262,
476,Coho,1995,28273.72573,
477,Coho,1996,40441.80947,
478,Coho,1997,30326.6645,
479,Coho,1998,88417.35566,
480,Coho,1999,81533.6434,
481,Coho,2000,84129.0648,
482,Coho,2001,101351.9113,
483,Coho,2002,136264.316,
484,Coho,2003,98995.6895,
485,Coho,2004,77991.41377,
486,Coho,2005,70519.80116,
487,Coho,2006,104942.2283,
488,Coho,2007,84201.23983,
489,Coho,2008,46787.7317,
490,Coho,2009,128386.1288,
491,Coho,2010,86320.32932,
492,Coho,2011,89934.88847,
493,Coho,2012,60588.25273,
494,Coho,2013,71224.25044,
495,Coho,2014,82122.05453,
496,Coho,2015,120920.3177,
497,Coho,2016,112899.4253,
498,Coho,2017,69257.75062,
499,Coho,2018,44330.06438,
500,Coho,2019,36278.33457,
501,Coho,2020,70720.65629,
502,Coho,2021,14999.73985,
503,Coho,2022,19135.26435,
548,Pink,1994,481240.534,
549,Pink,1995,6222.948819,
550,Pink,1996,816457.4986,
551,Pink,1997,5666.242555,
552,Pink,1998,618007.5968,
553,Pink,1999,3832.369011,
554,Pink,2000,325312.7945,
555,Pink,2001,14762.185,
556,Pink,2002,397114.9028,
557,Pink,2003,1238.349585,
558,Pink,2004,156427.7515,
559,Pink,2005,278642.434,
560,Pink,2006,125363.703,
561,Pink,2007,128841.518,
562,Pink,2008,364853.7227,
563,Pink,2009,110280.55,
564,Pink,2010,949526.9489,
565,Pink,2011,561704.3111,
566,Pink,2012,593610.9941,
567,Pink,2013,4983.510502,
568,Pink,2014,,
569,Pink,2015,59115.74087,
570,Pink,2016,145505.7493,
571,Pink,2017,47073.64551,
572,Pink,2018,386015.371,
573,Pink,2019,22280.06589,
574,Pink,2020,882125.2853,
575,Pink,2021,2491.755251,
576,Pink,2022,287880.9297,
621,Sockeye,1994,13917.76639,
622,Sockeye,1995,11408.00523,
623,Sockeye,1996,44092.09866,
624,Sockeye,1997,35038.31881,
625,Sockeye,1998,34224.0157,
626,Sockeye,1999,32512.81492,
627,Sockeye,2000,41688.26146,
628,Sockeye,2001,23379.26037,
629,Sockeye,2002,25299.22193,
630,Sockeye,2003,25375.4635,
631,Sockeye,2004,27444.16795,
632,Sockeye,2005,15476.52089,
633,Sockeye,2006,47399.8593,
634,Sockeye,2007,19764.15418,
635,Sockeye,2008,22731.58187,
636,Sockeye,2009,32009.46702,
637,Sockeye,2010,46699.78327,
638,Sockeye,2011,63392.65103,
639,Sockeye,2012,40692.60762,
640,Sockeye,2013,29901.68686,
641,Sockeye,2014,50374.06052,
642,Sockeye,2015,48242.41876,
643,Sockeye,2016,40501.19342,
644,Sockeye,2017,32293.82181,
645,Sockeye,2018,24878.20347,
646,Sockeye,2019,24178.97137,
647,Sockeye,2020,20802.02006,
648,Sockeye,2021,26610.37631,
649,Sockeye,2022,50113.95742,
669,Chinook,1994,24872.0,32864.0
670,Chinook,1995,8817.0,16187.0
671,Chinook,1996,22950.0,30889.0
672,Chinook,1997,20337.0,27658.0
673,Chinook,1998,24675.0,34922.0
674,Chinook,1999,12526.0,22310.0
675,Chinook,2000,19348.0,31159.0
676,Chinook,2001,32340.0,44595.0
677,Chinook,2002,14804.0,21528.0
678,Chinook,2003,28274.0,36503.0
679,Chinook,2004,16875.0,25137.0
680,Chinook,2005,15571.0,24067.0
681,Chinook,2006,28061.0,37098.0
682,Chinook,2007,24964.0,34221.0
683,Chinook,2008,22138.0,26202.0
684,Chinook,2009,29576.0,36865.0
685,Chinook,2010,20729.0,26052.0
686,Chinook,2011,10826.0,15092.0
687,Chinook,2012,9797.0,15086.0
688,Chinook,2013,9034.0,13525.0
689,Chinook,2014,12979.0,19789.0
690,Chinook,2015,20595.0,28557.0
691,Chinook,2016,10192.0,15977.0
692,Chinook,2017,4984.0,8947.0
693,Chinook,2018,16319.0,21862.0
694,Chinook,2019,11833.0,18707.0
695,Chinook,2020,14315.0,20551.0
696,Chinook,2021,12742.0,21538.0
697,Chinook,2022,17990.0,22697.0
698,Chinook,2023,13538.0,18900.0
711,Sockeye,1994,310044.0,837138.0
712,Sockeye,1995,264689.0,1168730.0
713,Sockeye,1996,217909.0,1054397.0
714,Sockeye,1997,250460.0,994761.0
715,Sockeye,1998,266463.0,711783.0
716,Sockeye,1999,210959.0,842807.0
717,Sockeye,2000,204408.0,625983.0
718,Sockeye,2001,167258.0,583885.0
719,Sockeye,2002,405474.0,1403976.0
720,Sockeye,2003,263688.0,1177472.0
721,Sockeye,2004,215860.0,986097.0
722,Sockeye,2005,224562.0,666882.0
723,Sockeye,2006,250641.0,775110.0
724,Sockeye,2007,164745.0,602208.0
725,Sockeye,2008,218376.0,380396.0
726,Sockeye,2009,244900.0,575336.0
727,Sockeye,2010,229010.0,438941.0
728,Sockeye,2011,276700.0,556711.0
729,Sockeye,2012,203030.0,476821.0
730,Sockeye,2013,210120.0,501424.0
731,Sockeye,2014,260102.0,549423.0
732,Sockeye,2015,389508.0,868749.0
733,Sockeye,2016,276417.0,442420.0
734,Sockeye,2017,226765.0,368660.0
735,Sockeye,2018,223871.0,315975.0
736,Sockeye,2019,243662.0,377745.0
737,Sockeye,2020,215464.0,295163.0
738,Sockeye,2021,348825.0,502536.0
739,Sockeye,2022,444663.0,623024.0
740,Steelhead,1994,6794.0,12887.0
741,Steelhead,1995,3064.0,5972.0
742,Steelhead,1996,11863.0,27875.0
743,Steelhead,1997,11596.0,22417.0
744,Steelhead,1998,11733.0,30562.0
745,Steelhead,1999,10587.0,23291.0
746,Steelhead,2000,14831.0,21407.0
747,Steelhead,2001,13484.0,26911.0
748,Steelhead,2002,18144.0,22182.0
749,Steelhead,2003,17454.0,24677.0
750,Steelhead,2004,4840.0,10539.0
751,Steelhead,2005,7924.0,11956.0
752,Steelhead,2006,4986.0,7297.0
753,Steelhead,2007,6350.0,22143.0
754,Steelhead,2008,13992.0,18403.0
755,Steelhead,2009,27381.0,46865.0
756,Steelhead,2010,20445.0,25101.0
757,Steelhead,2011,22917.0,29871.0
758,Steelhead,2012,14083.0,16448.0
759,Steelhead,2013,8098.0,10778.0
760,Steelhead,2014,20405.0,25659.0
761,Steelhead,2015,16222.0,23585.0
762,Steelhead,2016,25516.0,33942.0
763,Steelhead,2017,9726.0,11063.0
764,Steelhead,2018,30099.0,34570.0
765,Steelhead,2019,11645.0,15527.0
766,Steelhead,2020,4247.0,5095.0
767,Steelhead,2021,6146.0,9185.0
768,Steelhead,2022,13085.0,17709.0
771,Coho,1994,206844.2676,756676.1736
772,Coho,1995,47097.73349,149224.3141
773,Coho,1996,79399.64694,206150.0865
774,Coho,1997,27475.74476,60503.01363
775,Coho,1998,70114.83514,132737.9935
776,Coho,1999,103122.6841,206124.8312
777,Coho,2000,106136.4393,224795.3327
778,Coho,2001,194760.805,411513.5799
779,Coho,2002,292322.9024,374145.6263
780,Coho,2003,140901.4042,256386.2217
781,Coho,2004,98998.3391,211057.7852
782,Coho,2005,159860.7248,365972.1317
783,Coho,2006,101692.6831,189545.6348
784,Coho,2007,141930.3765,276138.0601
785,Coho,2008,115477.4488,193105.8204
786,Coho,2009,311687.7447,475309.7884
787,Coho,2010,148263.12,272690.8883
788,Coho,2011,98006.33364,208114.7314
789,Coho,2012,114962.3282,249774.7184
790,Coho,2013,354229.4623,867244.8222
791,Coho,2014,231709.6859,439644.6939
792,Coho,2015,55953.6682,244556.4625
793,Coho,2016,183233.9311,504630.3887
794,Coho,2017,190134.9448,367657.0876
795,Coho,2018,72548.02159,147794.8741
796,Coho,2019,144129.3812,236348.6283
797,Coho,2020,96236.85462,229737.9017
798,Coho,2021,180806.2513,372616.0006
799,Coho,2022,291433.7447,509209.3247
844,Chum,1994,37066.19071,
845,Chum,1995,31073.01559,
846,Chum,1996,14730.91109,
847,Chum,1997,13194.25562,
848,Chum,1998,107132.8343,
849,Chum,1999,38271.80383,
850,Chum,2000,23954.65878,
851,Chum,2001,34939.87975,
852,Chum,2002,20094.3598,
853,Chum,2003,47886.50748,
854,Chum,2004,49200.5597,
855,Chum,2005,37609.81597,
856,Chum,2006,36625.40147,
857,Chum,2007,21405.06805,
858,Chum,2008,17992.80425,
859,Chum,2009,24894.91017,
860,Chum,2010,12258.02405,
861,Chum,2011,11629.58039,
862,Chum,2012,22755.01622,
863,Chum,2013,18319.23494,
864,Chum,2014,22585.76207,
865,Chum,2015,61121.06642,
866,Chum,2016,23527.17434,
867,Chum,2017,17170.01389,
868,Chum,2018,27048.17791,
869,Chum,2019,61039.70594,
870,Chum,2020,1435.064545,
871,Chum,2021,22075.33027,
872,Chum,2022,51911.72496,
917,Pink,1994,260907.9871,
918,Pink,1995,248295.3432,
919,Pink,1996,406052.6887,
920,Pink,1997,91134.75741,
921,Pink,1998,154762.5125,
922,Pink,1999,289805.9775,
923,Pink,2000,492192.0698,
924,Pink,2001,700321.1508,
925,Pink,2002,781411.4719,
926,Pink,2003,605427.7837,
927,Pink,2004,994588.6615,
928,Pink,2005,657232.3028,
929,Pink,2006,293551.2791,
930,Pink,2007,412303.3254,
931,Pink,2008,112151.8039,
932,Pink,2009,358903.0554,
933,Pink,2010,482005.5449,
934,Pink,2011,75777.26497,
935,Pink,2012,487973.8945,
936,Pink,2013,628066.3543,
937,Pink,2014,756059.075,
938,Pink,2015,305744.1375,
939,Pink,2016,711958.5277,
940,Pink,2017,506690.7979,
941,Pink,2018,167729.9234,
942,Pink,2019,62638.79206,
943,Pink,2020,327869.4716,
944,Pink,2021,311900.8906,
945,Pink,2022,846054.9653,
965,Chinook,1994,87631.0,
966,Chinook,1995,55615.0,
967,Chinook,1996,103124.0,
968,Chinook,1997,49420.0,
969,Chinook,1998,39343.0,
970,Chinook,1999,48290.0,
971,Chinook,2000,62279.0,
972,Chinook,2001,106165.0,
973,Chinook,2002,38695.0,
974,Chinook,2003,82184.0,
975,Chinook,2004,105887.0,
976,Chinook,2005,56961.0,
977,Chinook,2006,55156.0,
978,Chinook,2007,62320.0,
979,Chinook,2008,44901.0,
980,Chinook,2009,61888.0,
981,Chinook,2010,63977.0,
982,Chinook,2011,28420.0,
983,Chinook,2012,21660.0,
984,Chinook,2013,40772.0,
985,Chinook,2014,43164.0,
986,Chinook,2015,55284.0,
987,Chinook,2016,28238.0,
988,Chinook,2017,14715.0,
989,Chinook,2018,35059.0,
990,Chinook,2019,20193.0,
991,Chinook,2020,16243.0,
992,Chinook,2021,20097.0,
993,Chinook,2022,24724.0,
994,Chinook,2023,26044.0,
1029,Sockeye,1994,1094192.629,2719942.0
1030,Sockeye,1995,1827198.586,5610014.0
1031,Sockeye,1996,1874256.758,7486413.0
1032,Sockeye,1997,952860.4254,3759453.0
1033,Sockeye,1998,538462.6253,1002872.0
1034,Sockeye,1999,677904.584,928244.0
1035,Sockeye,2000,1396651.304,4692242.0
1036,Sockeye,2001,1471781.081,4386714.0
1037,Sockeye,2002,647056.5723,1372525.0
1038,Sockeye,2003,1361375.579,2129047.0
1039,Sockeye,2004,971713.594,1634900.0
1040,Sockeye,2005,741324.1063,1103594.0
1041,Sockeye,2006,1235408.646,2875413.0
1042,Sockeye,2007,1079262.0,2149866.0
1043,Sockeye,2008,895716.4823,2151303.0
1044,Sockeye,2009,777177.1441,1027623.0
1045,Sockeye,2010,704132.0401,956674.0
1046,Sockeye,2011,961944.5615,1931273.0
1047,Sockeye,2012,1198324.157,2260352.0
1048,Sockeye,2013,399578.2393,480045.0
1049,Sockeye,2014,1589999.122,3273806.0
1050,Sockeye,2015,1290919.0,2146293.0
1051,Sockeye,2016,939938.0,1697839.0
1052,Sockeye,2017,921639.5076,1054160.0
1053,Sockeye,2018,1237681.892,1770491.0
1054,Sockeye,2019,577500.1679,822410.0
1055,Sockeye,2020,1321245.228,1688248.0
1056,Sockeye,2021,1120938.611,1726961.0
1057,Sockeye,2022,2490576.0,4338148.0
1096,Steelhead,1994,21866.0,
1097,Steelhead,1995,19554.0,
1098,Steelhead,1996,23409.0,
1099,Steelhead,1997,12714.0,
1100,Steelhead,1998,59022.0,
1101,Steelhead,1999,39363.0,
1102,Steelhead,2000,48741.0,
1103,Steelhead,2001,26373.0,
1104,Steelhead,2002,50297.0,
1105,Steelhead,2003,24422.0,
1106,Steelhead,2004,,
1107,Steelhead,2005,,
1108,Steelhead,2006,27500.0,
1109,Steelhead,2007,,
1110,Steelhead,2008,42440.0,
1111,Steelhead,2009,34180.0,
1112,Steelhead,2010,50489.0,
1113,Steelhead,2011,31809.0,
1114,Steelhead,2012,39964.0,
1115,Steelhead,2013,24256.0,
1116,Steelhead,2014,30250.0,
1117,Steelhead,2015,26553.0,
1118,Steelhead,2016,42439.0,
1119,Steelhead,2017,17078.0,
1120,Steelhead,2018,43238.0,
1121,Steelhead,2019,15606.0,
1122,Steelhead,2020,15280.0,
1123,Steelhead,2021,5164.0,
